CDU/CSU,         2,0,1,0,2,2,1,0,1,2,1,1,2,1,0,2,0,1,1,2,1,1,0,0,1,2,1,2,0,2,0,1,1,1,1,2,2,2
SPD,             1,1,1,1,2,1,1,2,2,1,1,0,1,2,1,2,2,1,1,2,1,1,1,1,0,1,2,2,2,1,2,1,1,1,1,2,1,1
GRÜNE,           1,1,2,1,2,1,1,2,2,1,1,2,1,2,1,2,2,1,1,2,2,1,1,1,0,1,2,2,2,2,1,1,1,1,1,2,1,1
DIE LINKE,       1,1,2,1,2,1,1,2,2,2,1,2,1,2,1,2,2,0,1,2,0,2,1,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1
AfD,             2,2,2,2,1,2,0,1,1,2,2,0,2,2,2,0,1,2,2,1,1,2,2,2,1,2,1,2,1,1,0,0,2,2,2,1,2,2
FDP,             0,2,1,2,2,0,2,1,1,1,0,2,2,1,2,2,1,1,1,0,1,1,2,0,1,2,2,2,2,2,2,1,1,1,0,2,1,2
FREIE WÄHLER,    1,1,1,0,2,2,1,2,1,2,1,1,2,1,2,2,2,1,1,2,2,1,2,0,1,1,1,2,1,2,2,1,2,1,2,2,2,2
PIRATEN,         1,1,2,1,2,1,1,2,2,1,1,2,1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1
Tierschutzpart., 1,1,0,1,2,1,1,2,2,1,1,0,1,2,1,2,2,0,1,2,2,0,1,1,0,0,2,0,2,0,1,1,1,0,1,2,0,1
NPD,             2,2,2,1,1,2,1,2,1,2,2,1,2,2,2,1,0,2,2,1,2,1,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,2
FAMILIE,         1,0,1,0,2,1,1,2,1,2,1,1,1,2,0,2,2,2,1,2,0,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1
ödp,             1,1,2,1,2,1,1,2,0,2,1,2,1,0,2,2,2,0,1,2,2,1,1,0,1,1,0,2,2,1,1,1,2,1,1,2,2,1
Die PARTEI,      1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1
Volksabstimmung, 1,2,0,1,1,2,1,0,2,0,2,0,2,2,2,0,0,2,2,1,0,0,1,2,1,2,1,2,1,1,1,2,0,2,1,1,0,2
BP,              1,0,1,2,1,2,1,2,1,2,1,2,2,1,2,2,0,2,1,0,2,2,2,2,1,2,0,2,1,1,2,0,1,2,0,2,2,2
DKP,             1,1,2,1,1,1,1,2,2,0,1,2,1,2,0,1,2,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,2,1,1,2,2,1
MLPD,            1,1,2,0,0,1,1,2,2,1,0,2,1,2,0,0,2,2,1,2,1,2,1,1,2,1,2,1,2,1,1,1,0,2,1,2,0,1
SGP,             1,1,2,1,2,1,1,1,2,1,2,2,1,2,2,2,2,2,1,2,1,2,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,1
